,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,537151.0,734.0,777.0,6500.0,823.0,145594.0,6007.0,5957.0,982.0,882.0,43795.0,6880.0,2050.0,864.0,29432.0,2455.0,1314.0,2093.0,1307.0,1458.0,548.0,12295.0,16263.0,14615.0,7713.0,557.0,3999.0,285.0,1537.0,4622.0,958.0,30291.0,1449.0,66234.0,5084.0,267.0,8590.0,1765.0,3612.0,10205.0,2185.0,1748.0,257.0,2613.0,35417.0,2.0,1849.0,3110.0,419.0,13478.0,12668.0,237.0,3570.0,146.0,8659
Europe,89014.0,97.0,111.0,1206.0,84.0,14468.0,1521.0,1711.0,148.0,126.0,4863.0,910.0,99.0,294.0,10274.0,525.0,367.0,173.0,406.0,139.0,161.0,1519.0,4008.0,4110.0,1125.0,50.0,1256.0,88.0,245.0,655.0,325.0,5152.0,183.0,13753.0,642.0,87.0,2623.0,175.0,897.0,2771.0,468.0,353.0,97.0,362.0,2527.0,,63.0,823.0,213.0,1446.0,3103.0,48.0,793.0,,1329
Albania,3324.0,0.0,0.0,10.0,0.0,33.0,,176.0,,5.0,209.0,,0.0,3.0,280.0,11.0,0.0,3.0,0.0,0.0,6.0,53.0,449.0,661.0,3.0,0.0,62.0,0.0,5.0,14.0,17.0,177.0,,523.0,11.0,0.0,176.0,,,243.0,,13.0,0.0,,51.0,0.0,0.0,,5.0,23.0,19.0,0.0,51.0,0.0,19
Armenia,1793.0,0.0,,5.0,0.0,1537.0,4.0,9.0,0.0,,9.0,,0.0,0.0,7.0,3.0,0.0,0.0,,,0.0,4.0,25.0,12.0,5.0,0.0,5.0,0.0,0.0,19.0,,13.0,,48.0,,0.0,4.0,,6.0,11.0,16.0,,0.0,3.0,5.0,0.0,0.0,11.0,0.0,6.0,12.0,0.0,0.0,0.0,2
Austria,277.0,,0.0,7.0,,53.0,7.0,4.0,0.0,,26.0,,,,18.0,0.0,,0.0,0.0,0.0,0.0,12.0,6.0,16.0,4.0,,3.0,,0.0,4.0,3.0,10.0,,38.0,4.0,0.0,6.0,0.0,,4.0,0.0,,0.0,,12.0,0.0,0.0,,,8.0,7.0,0.0,0.0,,5
Azerbaijan,793.0,0.0,,,0.0,209.0,9.0,10.0,0.0,,13.0,3.0,,,13.0,,,3.0,11.0,0.0,3.0,12.0,33.0,42.0,6.0,0.0,12.0,0.0,,,0.0,13.0,,227.0,,,20.0,,,21.0,,0.0,,4.0,10.0,0.0,0.0,14.0,3.0,8.0,56.0,,5.0,0.0,8
Belarus,1464.0,0.0,,4.0,,194.0,81.0,25.0,,,28.0,13.0,0.0,,79.0,8.0,,0.0,7.0,0.0,0.0,30.0,43.0,38.0,48.0,0.0,35.0,3.0,5.0,,,62.0,,438.0,10.0,0.0,69.0,0.0,15.0,55.0,10.0,3.0,0.0,0.0,22.0,0.0,0.0,4.0,,15.0,70.0,0.0,24.0,0.0,13
Belgium,232.0,3.0,0.0,4.0,,48.0,10.0,6.0,,3.0,20.0,5.0,0.0,0.0,9.0,,,0.0,,0.0,,4.0,10.0,9.0,0.0,0.0,,,0.0,3.0,,7.0,,26.0,,0.0,4.0,,5.0,6.0,0.0,,0.0,0.0,16.0,0.0,,,0.0,6.0,,0.0,,0.0,5
Bosnia-Herzegovina,8013.0,5.0,6.0,291.0,,561.0,122.0,68.0,3.0,5.0,481.0,158.0,0.0,160.0,990.0,118.0,257.0,16.0,177.0,15.0,16.0,32.0,188.0,503.0,181.0,0.0,535.0,0.0,106.0,97.0,51.0,78.0,4.0,551.0,75.0,54.0,170.0,9.0,88.0,212.0,6.0,8.0,33.0,45.0,304.0,0.0,,379.0,85.0,127.0,278.0,4.0,76.0,,281
Bulgaria,2487.0,0.0,0.0,52.0,,379.0,41.0,23.0,10.0,6.0,136.0,73.0,,4.0,599.0,24.0,0.0,15.0,7.0,4.0,6.0,49.0,89.0,91.0,33.0,0.0,53.0,,,65.0,6.0,61.0,3.0,207.0,10.0,0.0,40.0,7.0,10.0,56.0,,17.0,0.0,5.0,85.0,0.0,0.0,15.0,,71.0,98.0,,8.0,4.0,15
Croatia,1084.0,,0.0,27.0,0.0,110.0,24.0,11.0,,,66.0,19.0,,10.0,140.0,19.0,7.0,0.0,11.0,,,10.0,33.0,46.0,19.0,0.0,31.0,,4.0,26.0,4.0,41.0,,104.0,10.0,,70.0,3.0,,27.0,,,10.0,11.0,42.0,0.0,0.0,31.0,6.0,13.0,28.0,0.0,32.0,0.0,20
Czech Republic,69.0,0.0,,4.0,0.0,14.0,3.0,0.0,,,9.0,,0.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,1
"Czechoslovakia, former",434.0,3.0,3.0,6.0,0.0,91.0,9.0,5.0,0.0,,38.0,13.0,,0.0,41.0,,0.0,0.0,0.0,3.0,0.0,7.0,10.0,6.0,3.0,0.0,4.0,,0.0,5.0,,25.0,0.0,39.0,9.0,,13.0,3.0,9.0,13.0,,6.0,0.0,,15.0,0.0,0.0,5.0,,12.0,14.0,0.0,,0.0,9
Denmark,175.0,0.0,0.0,3.0,0.0,59.0,8.0,0.0,,,9.0,0.0,,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,7.0,,7.0,,0.0,3.0,0.0,0.0,3.0,0.0,7.0,,7.0,,,5.0,0.0,5.0,4.0,,3.0,,3.0,11.0,0.0,0.0,,0.0,,3.0,0.0,,0.0,2
Estonia,126.0,0.0,0.0,3.0,0.0,16.0,4.0,0.0,0.0,0.0,5.0,,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,,5.0,,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,11.0,0.0,15.0,,0.0,8.0,,7.0,4.0,,0.0,0.0,,,0.0,0.0,,0.0,,19.0,0.0,0.0,0.0,2
Finland,352.0,0.0,4.0,,0.0,86.0,8.0,6.0,3.0,0.0,33.0,7.0,0.0,0.0,15.0,0.0,,0.0,,0.0,5.0,7.0,16.0,8.0,12.0,0.0,,6.0,0.0,3.0,,9.0,4.0,27.0,,0.0,5.0,0.0,7.0,11.0,,0.0,0.0,0.0,15.0,0.0,,7.0,0.0,6.0,20.0,,9.0,0.0,2
France,1802.0,3.0,0.0,21.0,,492.0,32.0,28.0,6.0,13.0,149.0,20.0,5.0,4.0,55.0,9.0,0.0,3.0,3.0,8.0,4.0,54.0,66.0,40.0,21.0,,13.0,0.0,,15.0,11.0,76.0,8.0,230.0,18.0,0.0,24.0,3.0,15.0,41.0,8.0,13.0,,9.0,89.0,0.0,5.0,23.0,5.0,55.0,60.0,0.0,9.0,0.0,29
Georgia,382.0,0.0,0.0,3.0,,119.0,8.0,3.0,0.0,,6.0,8.0,0.0,0.0,4.0,,4.0,3.0,0.0,0.0,0.0,12.0,5.0,4.0,4.0,0.0,3.0,0.0,0.0,4.0,,31.0,0.0,99.0,0.0,0.0,7.0,0.0,4.0,15.0,3.0,0.0,0.0,,4.0,0.0,0.0,0.0,,4.0,13.0,0.0,,0.0,3
Germany,3836.0,24.0,7.0,92.0,13.0,722.0,114.0,65.0,9.0,9.0,403.0,50.0,11.0,12.0,150.0,32.0,9.0,24.0,24.0,18.0,14.0,72.0,77.0,131.0,43.0,10.0,53.0,14.0,6.0,37.0,22.0,140.0,27.0,298.0,63.0,3.0,101.0,27.0,33.0,114.0,13.0,52.0,9.0,29.0,246.0,,,35.0,8.0,136.0,99.0,6.0,46.0,5.0,76
Gibraltar,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Greece,1100.0,0.0,,5.0,,174.0,10.0,30.0,7.0,3.0,55.0,4.0,0.0,0.0,98.0,6.0,,0.0,3.0,,,23.0,94.0,37.0,,,9.0,,0.0,11.0,12.0,71.0,0.0,235.0,9.0,0.0,26.0,,3.0,41.0,4.0,7.0,0.0,4.0,36.0,0.0,0.0,,0.0,32.0,9.0,0.0,5.0,0.0,23
Hungary,738.0,,,18.0,,181.0,11.0,25.0,0.0,3.0,102.0,4.0,,,27.0,6.0,,0.0,,0.0,,14.0,19.0,20.0,6.0,0.0,6.0,0.0,,15.0,,37.0,,80.0,5.0,0.0,30.0,,4.0,16.0,0.0,4.0,0.0,6.0,21.0,0.0,0.0,,,19.0,14.0,0.0,13.0,0.0,12
Iceland,79.0,0.0,0.0,,0.0,12.0,4.0,,0.0,0.0,8.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,4.0,,9.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,,0.0,1
Ireland,2421.0,,4.0,20.0,7.0,430.0,22.0,50.0,0.0,5.0,109.0,16.0,6.0,0.0,141.0,7.0,,4.0,5.0,3.0,5.0,26.0,310.0,25.0,14.0,3.0,7.0,,6.0,11.0,16.0,145.0,5.0,669.0,19.0,,20.0,3.0,13.0,65.0,12.0,19.0,,11.0,55.0,0.0,,8.0,4.0,46.0,42.0,0.0,12.0,,11
Italy,2295.0,,,25.0,,354.0,25.0,65.0,8.0,,196.0,7.0,,,104.0,7.0,,3.0,5.0,5.0,0.0,41.0,104.0,89.0,14.0,0.0,6.0,,5.0,20.0,4.0,207.0,3.0,578.0,14.0,0.0,51.0,,11.0,89.0,13.0,6.0,0.0,7.0,56.0,0.0,6.0,13.0,,41.0,29.0,4.0,18.0,0.0,47
Kazakhstan,572.0,0.0,,,0.0,105.0,20.0,10.0,0.0,0.0,10.0,4.0,,0.0,17.0,0.0,,,,0.0,3.0,15.0,25.0,11.0,13.0,0.0,12.0,,,4.0,,11.0,,133.0,,0.0,16.0,,13.0,29.0,,0.0,,,11.0,0.0,0.0,,,15.0,60.0,0.0,7.0,0.0,4
Kyrgyzstan,159.0,0.0,0.0,,0.0,18.0,4.0,0.0,0.0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,3.0,4.0,5.0,5.0,,4.0,0.0,,0.0,,9.0,0.0,20.0,0.0,,4.0,0.0,10.0,7.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0,39.0,0.0,,,2
Latvia,335.0,0.0,0.0,,0.0,49.0,8.0,6.0,,,17.0,5.0,0.0,,21.0,,,,0.0,,,8.0,7.0,25.0,9.0,0.0,,,3.0,,,24.0,3.0,64.0,3.0,0.0,14.0,0.0,8.0,7.0,,,0.0,0.0,4.0,0.0,,0.0,0.0,7.0,11.0,0.0,7.0,,4
Lithuania,738.0,0.0,3.0,,0.0,62.0,13.0,11.0,3.0,0.0,30.0,11.0,0.0,0.0,347.0,4.0,0.0,,0.0,,3.0,8.0,16.0,22.0,9.0,0.0,8.0,,0.0,4.0,0.0,29.0,,43.0,,0.0,16.0,0.0,4.0,16.0,0.0,,0.0,5.0,7.0,0.0,0.0,5.0,,11.0,16.0,,6.0,,11
Luxembourg,9.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0
Macedonia,601.0,0.0,7.0,7.0,0.0,31.0,,23.0,0.0,0.0,21.0,,0.0,,87.0,14.0,6.0,0.0,,0.0,,,5.0,104.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,100.0,0.0,79.0,0.0,,22.0,,0.0,11.0,0.0,,0.0,0.0,9.0,0.0,0.0,,0.0,8.0,,,28.0,0.0,11
Malta,80.0,0.0,0.0,,0.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1
Moldova,711.0,0.0,,0.0,0.0,135.0,10.0,7.0,0.0,,19.0,14.0,0.0,,13.0,,,0.0,3.0,0.0,,10.0,17.0,13.0,18.0,0.0,4.0,0.0,,3.0,0.0,26.0,,174.0,12.0,0.0,15.0,,15.0,35.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,,22.0,113.0,0.0,,0.0,5
Monaco,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Netherlands,722.0,0.0,,14.0,0.0,188.0,15.0,16.0,,0.0,73.0,7.0,4.0,,17.0,4.0,0.0,,3.0,3.0,5.0,21.0,24.0,28.0,11.0,,7.0,4.0,,5.0,9.0,30.0,6.0,49.0,6.0,0.0,17.0,4.0,16.0,18.0,3.0,8.0,,4.0,37.0,0.0,3.0,5.0,,13.0,17.0,,9.0,3.0,2
Norway,137.0,0.0,,4.0,0.0,23.0,3.0,8.0,0.0,,9.0,0.0,,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,3.0,4.0,,4.0,0.0,,,0.0,,0.0,9.0,0.0,14.0,,0.0,,,,3.0,,0.0,0.0,0.0,9.0,0.0,0.0,,0.0,,14.0,0.0,3.0,0.0,2
Poland,10335.0,3.0,3.0,37.0,7.0,370.0,96.0,395.0,18.0,3.0,264.0,28.0,7.0,5.0,4409.0,47.0,7.0,,9.0,5.0,15.0,58.0,249.0,355.0,29.0,3.0,35.0,4.0,7.0,31.0,11.0,1193.0,10.0,1646.0,31.0,0.0,149.0,7.0,23.0,213.0,34.0,23.0,0.0,39.0,114.0,0.0,,13.0,6.0,43.0,67.0,3.0,80.0,0.0,128
Portugal,2173.0,,0.0,6.0,0.0,273.0,0.0,101.0,,3.0,47.0,4.0,3.0,,,,0.0,0.0,0.0,0.0,,27.0,637.0,5.0,3.0,0.0,,0.0,,6.0,17.0,538.0,0.0,135.0,10.0,0.0,0.0,,3.0,47.0,227.0,0.0,0.0,,10.0,0.0,,6.0,,19.0,3.0,0.0,,0.0,27
Romania,4388.0,6.0,4.0,102.0,5.0,735.0,35.0,67.0,,4.0,203.0,92.0,7.0,16.0,571.0,22.0,4.0,3.0,5.0,8.0,7.0,47.0,57.0,580.0,28.0,,33.0,,6.0,47.0,17.0,129.0,8.0,427.0,25.0,,381.0,7.0,131.0,106.0,6.0,13.0,,17.0,140.0,0.0,3.0,8.0,6.0,52.0,159.0,,24.0,0.0,28
Russia,7586.0,10.0,34.0,61.0,,1490.0,259.0,88.0,19.0,10.0,246.0,57.0,9.0,8.0,226.0,32.0,10.0,19.0,25.0,14.0,11.0,218.0,326.0,165.0,163.0,,81.0,12.0,14.0,48.0,13.0,420.0,17.0,1574.0,47.0,3.0,268.0,22.0,107.0,286.0,17.0,22.0,4.0,38.0,185.0,0.0,3.0,48.0,13.0,132.0,526.0,9.0,54.0,7.0,113
San Marino,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Serbia and Montenegro,3159.0,,3.0,96.0,4.0,303.0,33.0,35.0,3.0,6.0,218.0,26.0,3.0,19.0,385.0,22.0,22.0,5.0,28.0,4.0,3.0,31.0,60.0,278.0,37.0,,51.0,,14.0,25.0,21.0,123.0,5.0,653.0,19.0,5.0,109.0,,18.0,110.0,0.0,3.0,5.0,4.0,109.0,0.0,0.0,35.0,8.0,52.0,36.0,,68.0,0.0,55
Slovak Republic,318.0,0.0,0.0,4.0,,27.0,4.0,9.0,0.0,,30.0,4.0,0.0,0.0,45.0,,0.0,,0.0,0.0,,9.0,4.0,13.0,,,,0.0,0.0,,,75.0,0.0,42.0,,0.0,10.0,,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,,4.0,4.0,,,0.0,3
Slovenia,60.0,0.0,0.0,,0.0,6.0,,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.0,0.0,9.0,,,9.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,1
"Soviet Union, former",3772.0,,3.0,24.0,,635.0,37.0,38.0,,,130.0,25.0,0.0,4.0,590.0,13.0,6.0,8.0,13.0,3.0,7.0,124.0,361.0,163.0,100.0,0.0,13.0,,10.0,7.0,11.0,260.0,6.0,474.0,25.0,,117.0,,47.0,76.0,11.0,17.0,5.0,11.0,76.0,0.0,0.0,19.0,6.0,53.0,138.0,,23.0,0.0,72
Spain,1120.0,0.0,0.0,12.0,,193.0,12.0,13.0,3.0,6.0,215.0,8.0,,4.0,38.0,5.0,0.0,0.0,0.0,3.0,,35.0,23.0,25.0,16.0,,8.0,,,18.0,4.0,140.0,5.0,100.0,5.0,0.0,8.0,3.0,5.0,12.0,3.0,5.0,0.0,6.0,52.0,0.0,26.0,8.0,4.0,34.0,18.0,,8.0,0.0,28
Sweden,1016.0,5.0,,12.0,0.0,279.0,34.0,28.0,0.0,4.0,99.0,8.0,,,48.0,5.0,,3.0,3.0,,,22.0,34.0,15.0,23.0,0.0,,,,,4.0,35.0,4.0,84.0,18.0,0.0,18.0,3.0,13.0,17.0,3.0,5.0,0.0,4.0,50.0,0.0,0.0,9.0,6.0,27.0,51.0,,6.0,,16
Switzerland,487.0,0.0,,13.0,0.0,133.0,17.0,4.0,0.0,4.0,49.0,4.0,,,12.0,,,,,3.0,,10.0,14.0,11.0,4.0,0.0,5.0,,0.0,9.0,,13.0,,62.0,5.0,,8.0,,9.0,6.0,0.0,4.0,0.0,4.0,23.0,0.0,0.0,5.0,,12.0,14.0,0.0,3.0,,4
Tajikistan,117.0,0.0,0.0,,0.0,10.0,3.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,3.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0
Turkmenistan,58.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,19.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,,5.0,0.0,11.0,0.0,0
Ukraine,8069.0,8.0,3.0,32.0,7.0,1465.0,154.0,86.0,11.0,,203.0,65.0,5.0,18.0,415.0,37.0,10.0,12.0,12.0,,9.0,183.0,223.0,190.0,132.0,,58.0,5.0,8.0,17.0,10.0,409.0,4.0,2135.0,34.0,,347.0,12.0,144.0,483.0,31.0,8.0,15.0,21.0,86.0,0.0,3.0,26.0,,71.0,692.0,4.0,71.0,,87
United Kingdom,7785.0,16.0,11.0,153.0,19.0,1889.0,172.0,152.0,30.0,10.0,830.0,130.0,22.0,9.0,214.0,52.0,7.0,37.0,37.0,30.0,20.0,171.0,321.0,270.0,85.0,16.0,69.0,12.0,22.0,64.0,46.0,311.0,44.0,600.0,124.0,8.0,176.0,29.0,74.0,208.0,28.0,84.0,4.0,59.0,451.0,0.0,5.0,62.0,25.0,209.0,177.0,3.0,54.0,8.0,126
Uzbekistan,1224.0,0.0,0.0,15.0,,150.0,31.0,,0.0,,28.0,8.0,0.0,,13.0,0.0,0.0,,,0.0,0.0,30.0,12.0,18.0,5.0,0.0,8.0,,3.0,,0.0,35.0,0.0,658.0,,0.0,61.0,3.0,8.0,21.0,,0.0,0.0,,26.0,0.0,0.0,4.0,0.0,13.0,39.0,0.0,9.0,0.0,12
Asia,218974.0,406.0,419.0,1821.0,375.0,79654.0,1915.0,1723.0,404.0,214.0,5559.0,3055.0,1534.0,182.0,10255.0,1046.0,437.0,1034.0,475.0,720.0,156.0,4801.0,5482.0,8084.0,3372.0,319.0,1601.0,78.0,484.0,1923.0,327.0,11562.0,370.0,19729.0,2197.0,83.0,3729.0,856.0,1679.0,4662.0,453.0,765.0,73.0,1371.0,13578.0,0.0,975.0,842.0,109.0,6752.0,6357.0,124.0,1901.0,40.0,2912
Afghanistan,1323.0,,0.0,7.0,0.0,665.0,26.0,,3.0,,7.0,10.0,0.0,0.0,5.0,3.0,0.0,5.0,0.0,,3.0,15.0,9.0,8.0,7.0,0.0,10.0,0.0,13.0,13.0,0.0,40.0,4.0,146.0,7.0,0.0,7.0,0.0,4.0,18.0,0.0,0.0,,,31.0,0.0,0.0,,0.0,219.0,10.0,0.0,3.0,0.0,13
Bahrain,54.0,0.0,0.0,,0.0,8.0,0.0,0.0,,0.0,,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,3.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,10.0,0.0,0.0,0.0,0.0,4.0,,0.0,0.0,0.0,0
Bangladesh,5148.0,,4.0,27.0,4.0,453.0,22.0,93.0,14.0,17.0,176.0,154.0,0.0,,63.0,14.0,3.0,24.0,9.0,8.0,,130.0,95.0,533.0,37.0,9.0,21.0,0.0,,33.0,0.0,274.0,,1995.0,28.0,0.0,57.0,28.0,7.0,134.0,6.0,7.0,0.0,13.0,304.0,0.0,0.0,0.0,,251.0,15.0,,3.0,0.0,73
Bhutan,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Brunei,10.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Burma,1177.0,0.0,,8.0,,641.0,12.0,4.0,0.0,4.0,23.0,11.0,,,37.0,46.0,0.0,,,0.0,0.0,46.0,16.0,14.0,9.0,,5.0,0.0,0.0,3.0,0.0,26.0,0.0,134.0,7.0,0.0,8.0,6.0,3.0,11.0,,3.0,0.0,,29.0,0.0,,,,33.0,15.0,,,0.0,5
Cambodia,3975.0,8.0,3.0,19.0,,1401.0,36.0,52.0,,0.0,67.0,51.0,5.0,5.0,65.0,11.0,8.0,21.0,10.0,4.0,32.0,25.0,509.0,37.0,226.0,,17.0,0.0,4.0,17.0,8.0,10.0,,77.0,37.0,,85.0,7.0,42.0,175.0,78.0,7.0,,19.0,200.0,0.0,,48.0,,97.0,382.0,,12.0,,47
"China, People's Republic",27309.0,32.0,14.0,138.0,29.0,11094.0,183.0,227.0,79.0,25.0,361.0,165.0,132.0,19.0,909.0,136.0,36.0,74.0,34.0,61.0,19.0,517.0,970.0,506.0,229.0,32.0,166.0,16.0,34.0,139.0,43.0,1093.0,32.0,5255.0,208.0,6.0,461.0,45.0,283.0,698.0,60.0,104.0,12.0,107.0,864.0,0.0,39.0,82.0,18.0,542.0,563.0,19.0,138.0,6.0,255
Cyprus,104.0,0.0,0.0,,0.0,22.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,31.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,9.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1
Hong Kong,3713.0,3.0,3.0,28.0,0.0,1872.0,22.0,26.0,,,76.0,22.0,34.0,0.0,103.0,6.0,,8.0,5.0,5.0,4.0,83.0,113.0,26.0,19.0,0.0,15.0,,,17.0,3.0,138.0,,475.0,39.0,0.0,45.0,7.0,26.0,56.0,9.0,11.0,,7.0,137.0,0.0,20.0,13.0,0.0,41.0,145.0,0.0,15.0,0.0,27
India,37975.0,88.0,6.0,300.0,67.0,8922.0,180.0,454.0,134.0,13.0,947.0,771.0,11.0,21.0,3436.0,271.0,60.0,151.0,98.0,80.0,16.0,1082.0,961.0,1815.0,370.0,92.0,282.0,0.0,60.0,111.0,71.0,4399.0,54.0,2968.0,528.0,18.0,1103.0,180.0,162.0,1213.0,38.0,188.0,6.0,287.0,3152.0,0.0,15.0,63.0,17.0,1100.0,635.0,36.0,330.0,11.0,602
Indonesia,1131.0,,,17.0,,549.0,11.0,4.0,3.0,3.0,26.0,15.0,7.0,,18.0,9.0,,,,8.0,0.0,32.0,21.0,18.0,8.0,0.0,,0.0,,14.0,4.0,36.0,4.0,64.0,4.0,0.0,27.0,11.0,18.0,14.0,,,0.0,,77.0,0.0,,7.0,0.0,19.0,50.0,0.0,4.0,0.0,11
Iran,11781.0,24.0,3.0,129.0,10.0,6972.0,118.0,58.0,9.0,12.0,227.0,155.0,5.0,4.0,202.0,33.0,15.0,40.0,25.0,19.0,7.0,407.0,183.0,137.0,68.0,7.0,71.0,6.0,11.0,71.0,7.0,194.0,23.0,481.0,75.0,4.0,127.0,57.0,90.0,96.0,12.0,22.0,,57.0,657.0,0.0,0.0,55.0,5.0,450.0,177.0,5.0,33.0,,123
Iraq,3646.0,3.0,,82.0,3.0,585.0,28.0,11.0,4.0,3.0,29.0,24.0,0.0,,299.0,21.0,0.0,6.0,29.0,3.0,3.0,23.0,31.0,1543.0,31.0,3.0,111.0,0.0,44.0,8.0,0.0,13.0,7.0,96.0,8.0,10.0,28.0,6.0,16.0,53.0,6.0,,7.0,81.0,106.0,0.0,0.0,19.0,0.0,103.0,104.0,0.0,6.0,0.0,45
